"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"97","15057 DAHLIA DR",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.9892559419309","40.1192357459208",c(-74.9892559419309, 40.1192357459208)
"98","15163 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Byberry","-74.983896069058","40.1220687899855",c(-74.983896069058, 40.1220687899855)
"99","15153 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Byberry","-74.9842061363494","40.1209644855256",c(-74.9842061363494, 40.1209644855256)
"100","13084 TOWNSEND RD",0.03,0.04,0.06,0.09,0.14,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Byberry","-74.9775305511484","40.1085863794751",c(-74.9775305511484, 40.1085863794751)
"101","15014 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Byberry","-74.989858515771","40.1177488264776",c(-74.989858515771, 40.1177488264776)
"102","15096 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9871557696624","40.1194375426352",c(-74.9871557696624, 40.1194375426352)
"103","15131 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9851597843131","40.1203077811913",c(-74.9851597843131, 40.1203077811913)
"104","15083 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.9873290811386","40.1195704162324",c(-74.9873290811386, 40.1195704162324)
"105","2677 FOXGLOVE LN",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Byberry","-74.9863161791644","40.1214913688581",c(-74.9863161791644, 40.1214913688581)
"106","15017 DAHLIA DR",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.9904188570809","40.1180794743925",c(-74.9904188570809, 40.1180794743925)
"107","15045 DAHLIA DR",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.989765148878","40.1190478211643",c(-74.989765148878, 40.1190478211643)
"108","2681 MARIGOLD LN",0.03,0.04,0.06,0.1,0.14,0.16,0.22,0.31,0.4,0.5,0.16,0.22,0.31,0.4,0.5,"Byberry","-74.9903597602645","40.1175554036953",c(-74.9903597602645, 40.1175554036953)
"109","15137 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9853890432129","40.120973934414",c(-74.9853890432129, 40.120973934414)
