"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"91","12604 BISCAYNE DR",0.02,0.03,0.04,0.06,0.1,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Parkwood Manor","-74.9659251492445","40.0926963800027",c(-74.9659251492445, 40.0926963800027)
"92","3210 BIRCH RD",0.04,0.06,0.09,0.13,0.19,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Parkwood Manor","-74.9835813786646","40.0977531112545",c(-74.9835813786646, 40.0977531112545)
"93","12446 WYNDOM RD",0.02,0.02,0.04,0.06,0.09,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Parkwood Manor","-74.9758620572269","40.1042318581528",c(-74.9758620572269, 40.1042318581528)
"94","12305 DUNKS FERRY RD",0.02,0.03,0.04,0.06,0.1,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9773890467139","40.0993394097555",c(-74.9773890467139, 40.0993394097555)
"95","12608 KNIGHTS RD",0.03,0.04,0.06,0.09,0.14,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9653546898411","40.092147579834",c(-74.9653546898411, 40.092147579834)
"96","12234 MEDFORD RD",0.02,0.04,0.06,0.09,0.13,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Parkwood Manor","-74.9786275302441","40.0983870678264",c(-74.9786275302441, 40.0983870678264)
"97","12821 CABELL RD",0.01,0.02,0.03,0.04,0.06,0.17,0.24,0.33,0.42,0.53,0.17,0.24,0.33,0.42,0.53,"Parkwood Manor","-74.9678600248142","40.0979246589695",c(-74.9678600248142, 40.0979246589695)
"98","12316 WYNDOM RD",0.03,0.05,0.07,0.11,0.16,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Parkwood Manor","-74.9766924489062","40.1014241918828",c(-74.9766924489062, 40.1014241918828)
"99","12846 MCCARTHY CIR",0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.33,0.42,0.53,0.17,0.24,0.33,0.42,0.53,"Parkwood Manor","-74.9622369690413","40.0967440341816",c(-74.9622369690413, 40.0967440341816)
"100","3127 BYBERRY RD",0.03,0.05,0.08,0.11,0.17,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Parkwood Manor","-74.9790816706408","40.1004030563743",c(-74.9790816706408, 40.1004030563743)
"101","3302 FAIRDALE RD",0.03,0.05,0.08,0.12,0.17,0.19,0.27,0.35,0.46,0.56,0.19,0.27,0.35,0.46,0.56,"Parkwood Manor","-74.9797342785899","40.0967699119652",c(-74.9797342785899, 40.0967699119652)
"102","3022 FAIRDALE RD",0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.27,0.37,0.47,0.14,0.2,0.27,0.37,0.47,"Parkwood Manor","-74.9835730318804","40.1004673379035",c(-74.9835730318804, 40.1004673379035)
"103","12801 DUNKS FERRY RD",0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9674346118062","40.1025284762177",c(-74.9674346118062, 40.1025284762177)
"104","12512 NANTON DR",0.02,0.03,0.04,0.07,0.1,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"Parkwood Manor","-74.9709273160682","40.0926780361851",c(-74.9709273160682, 40.0926780361851)
"105","12646 RICHTON RD",0.01,0.02,0.04,0.06,0.08,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Parkwood Manor","-74.9710507630333","40.0999269200107",c(-74.9710507630333, 40.0999269200107)
"106","12150 ASTER RD",0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Parkwood Manor","-74.9817796937799","40.0983790052939",c(-74.9817796937799, 40.0983790052939)
"107","12515 NANTON DR",0.03,0.04,0.06,0.1,0.14,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Parkwood Manor","-74.9703455386237","40.0927813119953",c(-74.9703455386237, 40.0927813119953)
